analysis-full.txt 
  Dbar: 69.96769
  Dhat: -61.70544
    pD: 131.6731
   DIC: 201.6408



 analysis-full.txt results...Inference for Bugs model at "analysis-full.txt", fit using jags,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                           mu.vect sd.vect    2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.pink.0[4,2]             4.519   4.026  -3.375  1.801  4.515  7.261  12.327 1.001 25000
beta.pink.0[1,3]            -2.337   3.925 -10.126 -4.952 -2.328  0.307   5.291 1.001 12000
beta.pink.0[2,3]            -1.034   3.818  -8.590 -3.581 -1.026  1.507   6.447 1.001 15000
beta.pink.0[3,3]             1.692   3.775  -5.742 -0.828  1.725  4.195   9.124 1.001 25000
beta.pink.0[4,3]             5.212   3.938  -2.463  2.569  5.181  7.843  12.924 1.001 22000
beta.pink.0[1,4]            -0.393   2.889  -6.060 -2.322 -0.362  1.594   5.139 1.002  3300
beta.pink.0[2,4]            -1.551   3.009  -7.605 -3.549 -1.510  0.485   4.268 1.001  5400
beta.pink.0[3,4]             5.096   2.655   0.037  3.294  5.058  6.859  10.385 1.001 23000
beta.pink.0[4,4]             6.870   3.118   0.908  4.741  6.823  8.935  13.127 1.001 12000
beta.pink.elev[1,1]         -3.334   3.180  -9.617 -5.477 -3.318 -1.197   2.867 1.001  7700
beta.pink.elev[2,1]         -5.453   2.681 -10.905 -7.224 -5.385 -3.604  -0.424 1.001 16000
beta.pink.elev[3,1]         -4.312   3.103 -10.402 -6.406 -4.260 -2.188   1.637 1.001 16000
beta.pink.elev[4,1]         -1.813   3.200  -8.024 -3.982 -1.809  0.352   4.511 1.001 25000
beta.pink.elev[1,2]         -1.310   2.391  -6.091 -2.890 -1.318  0.303   3.347 1.001  6100
beta.pink.elev[2,2]         -5.370   2.521 -10.500 -7.027 -5.283 -3.636  -0.652 1.001 23000
beta.pink.elev[3,2]         -5.913   2.286 -10.665 -7.417 -5.825 -4.312  -1.705 1.001 25000
beta.pink.elev[4,2]         -1.711   2.748  -7.169 -3.534 -1.707  0.129   3.642 1.001 25000
beta.pink.fecundity[1,1]     3.393   3.118  -2.645  1.274  3.360  5.477   9.614 1.001 24000
beta.pink.fecundity[2,1]     2.669   2.692  -2.595  0.832  2.646  4.491   7.988 1.002  4000
beta.pink.fecundity[3,1]     0.410   2.904  -5.267 -1.563  0.415  2.346   6.044 1.001 17000
beta.pink.fecundity[4,1]    -0.921   3.184  -7.253 -3.082 -0.906  1.244   5.248 1.001 25000
beta.pink.fecundity[1,2]    -0.520   2.100  -4.724 -1.921 -0.477  0.917   3.427 1.002  4300
beta.pink.fecundity[2,2]     0.836   2.424  -3.809 -0.822  0.820  2.459   5.672 1.001 12000
beta.pink.fecundity[3,2]     0.378   2.112  -3.674 -1.058  0.345  1.784   4.568 1.001  8000
beta.pink.fecundity[4,2]     2.955   2.806  -2.343  1.032  2.877  4.770   8.754 1.001 12000
beta.pink.fl.per.head[1,1]   0.001   2.900  -5.615 -1.956 -0.019  1.939   5.735 1.001  9400
beta.pink.fl.per.head[2,1]   1.036   2.366  -3.575 -0.562  1.035  2.617   5.713 1.001 17000
beta.pink.fl.per.head[3,1]  -2.786   2.506  -7.825 -4.452 -2.754 -1.061   2.009 1.001  9400
beta.pink.fl.per.head[4,1]   1.646   3.006  -4.239 -0.400  1.619  3.691   7.538 1.001 25000
beta.pink.fl.per.head[1,2]   5.639   2.388   1.118  3.996  5.578  7.234  10.487 1.001  5600
beta.pink.fl.per.head[2,2]  -0.628   2.826  -6.189 -2.530 -0.631  1.285   4.923 1.001  9700
beta.pink.fl.per.head[3,2]   2.225   2.951  -3.489  0.228  2.178  4.198   8.110 1.001 15000
beta.pink.fl.per.head[4,2]   0.531   3.250  -5.788 -1.665  0.487  2.724   6.978 1.001 18000
beta.pink.infest[1,1]       -0.058   2.840  -5.525 -1.998 -0.097  1.849   5.570 1.001 23000
beta.pink.infest[2,1]       -5.176   2.393 -10.033 -6.753 -5.111 -3.529  -0.690 1.001  6400
beta.pink.infest[3,1]       -1.078   2.517  -6.084 -2.747 -1.036  0.635   3.760 1.002  4100
beta.pink.infest[4,1]       -3.346   3.077  -9.482 -5.414 -3.338 -1.245   2.629 1.001 11000
beta.pink.infest[1,2]       -0.602   1.962  -4.421 -1.917 -0.635  0.704   3.295 1.002  4100
beta.pink.infest[2,2]       -2.674   2.768  -8.194 -4.515 -2.615 -0.756   2.524 1.001  6300
beta.pink.infest[3,2]       -4.572   2.251  -9.170 -6.033 -4.502 -3.029  -0.369 1.001 25000
