analysis-full.txt 
  Dbar: 69.96769
  Dhat: -61.70544
    pD: 131.6731
   DIC: 201.6408



 analysis-full.txt results...Inference for Bugs model at "analysis-full.txt", fit using jags,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                           mu.vect sd.vect    2.5%    25%    50%    75%   97.5%  Rhat n.eff
       beta.poly.fl.per.head[1,2]     1.508    9.012*
       beta.poly.fl.per.head[2,1]    -2.158    7.038
       beta.poly.fl.per.head[2,2]    -9.414    0.523
            beta.poly.infest[1,1]    -4.652    7.166
            beta.poly.infest[1,2]    -2.084    4.514
            beta.poly.infest[2,1]    -9.767    0.219
            beta.poly.infest[2,2]    -3.238    4.669
              beta.poly.long[1,1]    -5.791    6.738
              beta.poly.long[1,2]    -1.944    2.761
              beta.poly.long[2,1]    -6.116    4.620
              beta.poly.long[2,2]    -5.015    0.438
               beta.poly.map[1,1]    -6.299    4.031
               beta.poly.map[1,2]    -3.633    2.776
               beta.poly.map[2,1]    -2.949    3.172
               beta.poly.map[2,2]    -0.385    6.885
         beta.poly.seed.mass[1,1]    -1.873   11.627
         beta.poly.seed.mass[1,2]    -1.395    5.844
         beta.poly.seed.mass[2,1]    -5.883    6.671
         beta.poly.seed.mass[2,2]     0.293   12.551*
           beta.seed.mass.elev[1]    -0.832    0.743
           beta.seed.mass.elev[2]    -0.670   -0.039*
           beta.seed.mass.long[1]    -0.655    0.746
           beta.seed.mass.long[2]    -0.561   -0.077*
            beta.seed.mass.map[1]    -0.577    0.417
            beta.seed.mass.map[2]    -0.259    0.517
                         deviance    40.834  104.153*
         eps.fecundity.species[1]    -1.691   -0.592*
         eps.fecundity.species[2]    -2.982   -0.013*
         eps.fecundity.species[3]    -2.299    0.073
         eps.fecundity.species[4]     0.585    1.165*
       eps.fl.per.head.species[1]    -1.538   -0.295*
       eps.fl.per.head.species[2]    -0.952    2.320
       eps.fl.per.head.species[3]    -0.079    2.565
       eps.fl.per.head.species[4]    -0.479    0.160
            eps.infest.species[1]    -5.653    2.465
            eps.infest.species[2]    -4.429    2.143
            eps.infest.species[3]    -4.968    3.639
            eps.infest.species[4]    -0.551    1.278
         eps.seed.mass.species[1]    -1.338   -0.204*
         eps.seed.mass.species[2]    -2.086    0.923
         eps.seed.mass.species[3]    -2.475   -0.030*
         eps.seed.mass.species[4]     0.325    0.914*
                    tau.fecundity     0.000    9.332*
                  tau.fl.per.head     0.000    9.492*
                    tau.seed.mass     0.000    9.919*
95% HPD intervals
                      Coefficient        lo       hi
---------------------------------   -------  -------
                       Sigma[1,1]     0.120    0.451*
                       Sigma[1,2]    -0.061    0.243
                       Sigma[1,3]    -0.178    0.095
                       Sigma[2,1]    -0.061    0.243
                       Sigma[2,2]     0.156    0.582*
                       Sigma[2,3]    -0.284    0.026
                       Sigma[3,1]    -0.178    0.095
                       Sigma[3,2]    -0.284    0.026
                       Sigma[3,3]     0.127    0.479*
                  alpha.pink.0[1]    -6.407    3.419
                  alpha.pink.0[2]    -5.788    3.812
                  alpha.pink.0[3]    -1.410    8.067
                  alpha.pink.0[4]    -0.854    9.321
                  alpha.pink.elev    -6.457   -0.147*
             alpha.pink.fecundity    -1.906    4.166
           alpha.pink.fl.per.head    -2.278    4.003
                alpha.pink.infest    -5.103    0.727
                  alpha.pink.long    -6.172   -0.367*
                   alpha.pink.map    -3.125    2.162
             alpha.pink.seed.mass    -3.114    4.409
                  alpha.poly.0[1]    -5.774    3.372
                  alpha.poly.0[2]    -4.781    4.103
                  alpha.poly.elev    -4.204    2.514
             alpha.poly.fecundity    -3.370    3.580
           alpha.poly.fl.per.head    -2.933    4.088
                alpha.poly.infest    -3.913    3.059
                  alpha.poly.long    -3.791    2.925
                   alpha.poly.map    -2.897    3.538
             alpha.poly.seed.mass    -1.307    6.821
           beta.fecundity.elev[1]    -0.583    0.963
           beta.fecundity.elev[2]    -0.005    0.602
           beta.fecundity.long[1]    -1.021    0.357
           beta.fecundity.long[2]    -0.432    0.033
            beta.fecundity.map[1]    -0.418    0.543
            beta.fecundity.map[2]     0.149    0.899*
         beta.fl.per.head.elev[1]    -0.610    1.087
         beta.fl.per.head.elev[2]    -0.055    0.626
         beta.fl.per.head.long[1]    -0.950    0.584
         beta.fl.per.head.long[2]    -0.098    0.424
          beta.fl.per.head.map[1]    -0.549    0.514
          beta.fl.per.head.map[2]    -0.153    0.689
              beta.infest.elev[1]    -0.662    2.008
              beta.infest.elev[2]    -0.701    0.289
         beta.infest.fecundity[1]    -3.844    0.771
         beta.infest.fecundity[2]    -1.006    0.548
       beta.infest.fl.per.head[1]    -3.582    1.564
       beta.infest.fl.per.head[2]    -0.191    1.257
              beta.infest.long[1]    -2.138    0.433
              beta.infest.long[2]    -0.481    0.368
               beta.infest.map[1]    -0.278    1.170
               beta.infest.map[2]    -0.801    0.481
         beta.infest.seed.mass[1]    -2.045    4.978
         beta.infest.seed.mass[2]    -0.299    1.200
                 beta.pink.0[1,1]    -9.960    4.635
                 beta.pink.0[1,2]    -9.929    5.154
                 beta.pink.0[1,3]   -10.038    5.359
                 beta.pink.0[1,4]    -5.978    5.194
                 beta.pink.0[2,1]    -8.857    4.748
                 beta.pink.0[2,2]    -8.074    6.034
                 beta.pink.0[2,3]    -8.752    6.255
                 beta.pink.0[2,4]    -7.385    4.463
                 beta.pink.0[3,1]    -1.504   12.353
                 beta.pink.0[3,2]    -3.015   11.893
                 beta.pink.0[3,3]    -5.703    9.145
                 beta.pink.0[3,4]     0.042   10.387*
                 beta.pink.0[4,1]    -2.378   12.767
                 beta.pink.0[4,2]    -3.392   12.295
                 beta.pink.0[4,3]    -2.407   12.950
                 beta.pink.0[4,4]     0.819   12.992*
              beta.pink.elev[1,1]    -9.395    3.061
              beta.pink.elev[1,2]    -5.983    3.429
              beta.pink.elev[2,1]   -10.739   -0.268*
              beta.pink.elev[2,2]   -10.223   -0.392*
              beta.pink.elev[3,1]   -10.360    1.674
              beta.pink.elev[3,2]   -10.405   -1.503*
              beta.pink.elev[4,1]    -8.018    4.514
              beta.pink.elev[4,2]    -7.216    3.587
         beta.pink.fecundity[1,1]    -2.694    9.547
         beta.pink.fecundity[1,2]    -4.628    3.505
         beta.pink.fecundity[2,1]    -2.496    8.075
         beta.pink.fecundity[2,2]    -3.953    5.492
         beta.pink.fecundity[3,1]    -5.327    5.975
         beta.pink.fecundity[3,2]    -3.676    4.565
         beta.pink.fecundity[4,1]    -7.163    5.322
         beta.pink.fecundity[4,2]    -2.606    8.450
       beta.pink.fl.per.head[1,1]    -5.740    5.601
       beta.pink.fl.per.head[1,2]     0.937   10.261*
       beta.pink.fl.per.head[2,1]    -3.589    5.695
       beta.pink.fl.per.head[2,2]    -6.205    4.906
       beta.pink.fl.per.head[3,1]    -7.736    2.084
       beta.pink.fl.per.head[3,2]    -3.558    8.013
       beta.pink.fl.per.head[4,1]    -4.135    7.623
       beta.pink.fl.per.head[4,2]    -6.111    6.635
            beta.pink.infest[1,1]    -5.559    5.528
            beta.pink.infest[1,2]    -4.288    3.408
            beta.pink.infest[2,1]    -9.774   -0.469*
            beta.pink.infest[2,2]    -8.144    2.571
            beta.pink.infest[3,1]    -6.111    3.727
            beta.pink.infest[3,2]    -9.156   -0.364*
            beta.pink.infest[4,1]    -9.182    2.904
            beta.pink.infest[4,2]    -7.604    3.096
              beta.pink.long[1,1]    -8.254    4.488
              beta.pink.long[1,2]    -8.542    0.743
              beta.pink.long[2,1]   -10.428    1.014
              beta.pink.long[2,2]   -11.338   -1.784*
              beta.pink.long[3,1]   -10.122    0.685
              beta.pink.long[3,2]    -4.627    2.893
              beta.pink.long[4,1]    -9.437    3.170
              beta.pink.long[4,2]    -8.458   -0.485*
               beta.pink.map[1,1]    -7.157    3.516
               beta.pink.map[1,2]    -5.130    2.636
               beta.pink.map[2,1]    -3.748    2.807
               beta.pink.map[2,2]    -3.610    6.135
               beta.pink.map[3,1]    -2.842    4.698
               beta.pink.map[3,2]    -6.441    1.342
               beta.pink.map[4,1]    -5.101    5.654
               beta.pink.map[4,2]    -6.388    4.840
         beta.pink.seed.mass[1,1]    -3.585    9.628
         beta.pink.seed.mass[1,2]    -5.077    4.651
         beta.pink.seed.mass[2,1]    -5.970    6.830
         beta.pink.seed.mass[2,2]    -2.907    8.725
         beta.pink.seed.mass[3,1]    -5.735    6.956
         beta.pink.seed.mass[3,2]    -5.711    6.536
         beta.pink.seed.mass[4,1]    -7.691    5.714
         beta.pink.seed.mass[4,2]    -6.372    7.100
                 beta.poly.0[1,1]    -9.263    5.083
                 beta.poly.0[1,2]    -9.384    5.620
                 beta.poly.0[1,3]    -9.239    5.584
                 beta.poly.0[1,4]    -3.979    4.142
                 beta.poly.0[2,1]    -7.638    5.493
                 beta.poly.0[2,2]    -8.421    5.133
                 beta.poly.0[2,3]    -5.738    8.862
                 beta.poly.0[2,4]    -4.196    4.151
              beta.poly.elev[1,1]    -7.492    4.822
              beta.poly.elev[1,2]    -3.666    2.410
              beta.poly.elev[2,1]    -7.724    1.698
              beta.poly.elev[2,2]    -2.145    3.631
         beta.poly.fecundity[1,1]    -3.699    8.384
         beta.poly.fecundity[1,2]    -5.956    1.717
         beta.poly.fecundity[2,1]    -5.142    5.227
         beta.poly.fecundity[2,2]    -3.251    3.120
       beta.poly.fl.per.head[1,1]    -6.197    5.393
       beta.poly.fl.per.head[1,2]     1.420    8.909*
       beta.poly.fl.per.head[2,1]    -2.009    7.169
       beta.poly.fl.per.head[2,2]    -9.436    0.487
            beta.poly.infest[1,1]    -4.654    7.165
            beta.poly.infest[1,2]    -2.040    4.544
            beta.poly.infest[2,1]    -9.620    0.348
            beta.poly.infest[2,2]    -3.367    4.519
              beta.poly.long[1,1]    -5.745    6.771
              beta.poly.long[1,2]    -1.956    2.741
              beta.poly.long[2,1]    -6.288    4.434
              beta.poly.long[2,2]    -4.908    0.511
               beta.poly.map[1,1]    -6.024    4.272
               beta.poly.map[1,2]    -3.721    2.673
               beta.poly.map[2,1]    -2.984    3.121
               beta.poly.map[2,2]    -0.535    6.688
         beta.poly.seed.mass[1,1]    -2.044   11.435
         beta.poly.seed.mass[1,2]    -1.512    5.708
         beta.poly.seed.mass[2,1]    -5.910    6.630
         beta.poly.seed.mass[2,2]     0.339   12.580*
           beta.seed.mass.elev[1]    -0.839    0.730
           beta.seed.mass.elev[2]    -0.667   -0.037*
           beta.seed.mass.long[1]    -0.661    0.740
           beta.seed.mass.long[2]    -0.565   -0.082*
            beta.seed.mass.map[1]    -0.590    0.403
            beta.seed.mass.map[2]    -0.265    0.510
                         deviance    39.865  102.935*
         eps.fecundity.species[1]    -1.683   -0.585*
         eps.fecundity.species[2]    -2.999   -0.038*
         eps.fecundity.species[3]    -2.295    0.074
         eps.fecundity.species[4]     0.584    1.165*
       eps.fl.per.head.species[1]    -1.541   -0.298*
       eps.fl.per.head.species[2]    -0.906    2.359
       eps.fl.per.head.species[3]    -0.058    2.585
       eps.fl.per.head.species[4]    -0.478    0.160
            eps.infest.species[1]    -5.654    2.462
            eps.infest.species[2]    -4.477    2.073
            eps.infest.species[3]    -5.018    3.562
            eps.infest.species[4]    -0.578    1.247
         eps.seed.mass.species[1]    -1.323   -0.191*
         eps.seed.mass.species[2]    -2.130    0.869
         eps.seed.mass.species[3]    -2.496   -0.057*
         eps.seed.mass.species[4]     0.324    0.913*
                    tau.fecundity     0.000    5.559*
                  tau.fl.per.head     0.000    5.731*
                    tau.seed.mass     0.000    5.645*
90% symmetric intervals
                      Coefficient        lo       hi
---------------------------------   -------  -------
                       Sigma[1,1]     0.151    0.441*
                       Sigma[1,2]    -0.030    0.213
                       Sigma[1,3]    -0.151    0.066
                       Sigma[2,1]    -0.030    0.213
                       Sigma[2,2]     0.190    0.565*
                       Sigma[2,3]    -0.262   -0.007*
                       Sigma[3,1]    -0.151    0.066
                       Sigma[3,2]    -0.262   -0.007*
                       Sigma[3,3]     0.161    0.471*
                  alpha.pink.0[1]    -5.658    2.604
                  alpha.pink.0[2]    -5.222    2.851
                  alpha.pink.0[3]    -0.669    7.283
                  alpha.pink.0[4]     0.050    8.625*
                  alpha.pink.elev    -5.921   -0.621*
             alpha.pink.fecundity    -1.498    3.616
           alpha.pink.fl.per.head    -1.790    3.517
                alpha.pink.infest    -4.646    0.258
                  alpha.pink.long    -5.800   -0.893*
                   alpha.pink.map    -2.734    1.720
             alpha.pink.seed.mass    -2.435    3.896
                  alpha.poly.0[1]    -4.858    2.787
                  alpha.poly.0[2]    -4.054    3.456
                  alpha.poly.elev    -3.667    1.998
             alpha.poly.fecundity    -2.837    2.998
           alpha.poly.fl.per.head    -2.361    3.534
                alpha.poly.infest    -3.241    2.560
                  alpha.poly.long    -3.217    2.408
                   alpha.poly.map    -2.376    3.039
             alpha.poly.seed.mass    -0.673    6.192
           beta.fecundity.elev[1]    -0.460    0.817
           beta.fecundity.elev[2]     0.049    0.552*
           beta.fecundity.long[1]    -0.881    0.262
           beta.fecundity.long[2]    -0.385   -0.003*
            beta.fecundity.map[1]    -0.332    0.461
            beta.fecundity.map[2]     0.211    0.827*
         beta.fl.per.head.elev[1]    -0.453    0.977
         beta.fl.per.head.elev[2]     0.006    0.568*
         beta.fl.per.head.long[1]    -0.820    0.441
         beta.fl.per.head.long[2]    -0.052    0.381
          beta.fl.per.head.map[1]    -0.475    0.412
          beta.fl.per.head.map[2]    -0.084    0.612
              beta.infest.elev[1]    -0.436    1.781
              beta.infest.elev[2]    -0.601    0.213
         beta.infest.fecundity[1]    -3.485    0.367
         beta.infest.fecundity[2]    -0.889    0.388
       beta.infest.fl.per.head[1]    -3.127    1.176
       beta.infest.fl.per.head[2]    -0.048    1.143
              beta.infest.long[1]    -1.887    0.265
              beta.infest.long[2]    -0.406    0.291
               beta.infest.map[1]    -0.161    1.047
               beta.infest.map[2]    -0.697    0.350
         beta.infest.seed.mass[1]    -1.546    4.334
         beta.infest.seed.mass[2]    -0.172    1.059
                 beta.pink.0[1,1]    -8.707    3.575
                 beta.pink.0[1,2]    -8.652    4.099
                 beta.pink.0[1,3]    -8.861    4.112
                 beta.pink.0[1,4]    -5.176    4.335
                 beta.pink.0[2,1]    -7.790    3.647
                 beta.pink.0[2,2]    -7.240    4.636
                 beta.pink.0[2,3]    -7.351    5.222
                 beta.pink.0[2,4]    -6.578    3.340
                 beta.pink.0[3,1]    -0.538   11.269
                 beta.pink.0[3,2]    -1.897   10.658
                 beta.pink.0[3,3]    -4.549    7.888
                 beta.pink.0[3,4]     0.786    9.556*
                 beta.pink.0[4,1]    -1.223   11.523
                 beta.pink.0[4,2]    -2.077   11.106
                 beta.pink.0[4,3]    -1.217   11.693
                 beta.pink.0[4,4]     1.824   12.071*
              beta.pink.elev[1,1]    -8.579    1.884
              beta.pink.elev[1,2]    -5.279    2.606
              beta.pink.elev[2,1]    -9.980   -1.193*
              beta.pink.elev[2,2]    -9.619   -1.351*
              beta.pink.elev[3,1]    -9.447    0.728
              beta.pink.elev[3,2]    -9.850   -2.296*
              beta.pink.elev[4,1]    -7.085    3.463
              beta.pink.elev[4,2]    -6.245    2.764
         beta.pink.fecundity[1,1]    -1.647    8.566
         beta.pink.fecundity[1,2]    -4.033    2.859
         beta.pink.fecundity[2,1]    -1.748    7.127
         beta.pink.fecundity[2,2]    -3.088    4.893
         beta.pink.fecundity[3,1]    -4.357    5.182
         beta.pink.fecundity[3,2]    -3.057    3.884
         beta.pink.fecundity[4,1]    -6.188    4.253
         beta.pink.fecundity[4,2]    -1.520    7.743
       beta.pink.fl.per.head[1,1]    -4.697    4.822
       beta.pink.fl.per.head[1,2]     1.813    9.644*
       beta.pink.fl.per.head[2,1]    -2.865    4.926
       beta.pink.fl.per.head[2,2]    -5.273    4.019
       beta.pink.fl.per.head[3,1]    -6.962    1.248
       beta.pink.fl.per.head[3,2]    -2.552    7.147
       beta.pink.fl.per.head[4,1]    -3.246    6.608
       beta.pink.fl.per.head[4,2]    -4.802    5.893
            beta.pink.infest[1,1]    -4.665    4.627
            beta.pink.infest[1,2]    -3.812    2.651
            beta.pink.infest[2,1]    -9.174   -1.361*
            beta.pink.infest[2,2]    -7.286    1.779
            beta.pink.infest[3,1]    -5.254    2.995
            beta.pink.infest[3,2]    -8.398   -0.990*
            beta.pink.infest[4,1]    -8.458    1.677
            beta.pink.infest[4,2]    -6.867    2.157
              beta.pink.long[1,1]    -7.100    3.562
              beta.pink.long[1,2]    -7.869   -0.145*
              beta.pink.long[2,1]    -9.578    0.031
              beta.pink.long[2,2]   -10.706   -2.620*
              beta.pink.long[3,1]    -9.219   -0.089*
              beta.pink.long[3,2]    -4.044    2.179
              beta.pink.long[4,1]    -8.497    2.128
              beta.pink.long[4,2]    -7.928   -1.160*
               beta.pink.map[1,1]    -6.278    2.698
               beta.pink.map[1,2]    -4.510    1.976
               beta.pink.map[2,1]    -3.244    2.271
               beta.pink.map[2,2]    -2.852    5.357
               beta.pink.map[3,1]    -2.228    4.105
               beta.pink.map[3,2]    -5.962    0.637
               beta.pink.map[4,1]    -4.252    4.741
               beta.pink.map[4,2]    -5.458    3.943
         beta.pink.seed.mass[1,1]    -2.447    8.711
         beta.pink.seed.mass[1,2]    -4.377    3.812
         beta.pink.seed.mass[2,1]    -5.011    5.723
         beta.pink.seed.mass[2,2]    -1.883    7.893
         beta.pink.seed.mass[3,1]    -4.619    6.078
         beta.pink.seed.mass[3,2]    -4.696    5.598
         beta.pink.seed.mass[4,1]    -6.781    4.492
         beta.pink.seed.mass[4,2]    -5.258    6.069
                 beta.poly.0[1,1]    -8.053    4.039
                 beta.poly.0[1,2]    -7.955    4.573
                 beta.poly.0[1,3]    -8.055    4.488
                 beta.poly.0[1,4]    -3.342    3.431
                 beta.poly.0[2,1]    -6.893    4.163
                 beta.poly.0[2,2]    -7.142    4.201
                 beta.poly.0[2,3]    -4.570    7.566
                 beta.poly.0[2,4]    -3.541    3.408
              beta.poly.elev[1,1]    -6.553    3.869
              beta.poly.elev[1,2]    -3.165    1.907
              beta.poly.elev[2,1]    -6.940    0.926
              beta.poly.elev[2,2]    -1.746    3.112
         beta.poly.fecundity[1,1]    -2.667    7.476
         beta.poly.fecundity[1,2]    -5.331    1.102
         beta.poly.fecundity[2,1]    -4.339    4.491
         beta.poly.fecundity[2,2]    -2.746    2.571
       beta.poly.fl.per.head[1,1]    -5.128    4.643
       beta.poly.fl.per.head[1,2]     2.013    8.313*
       beta.poly.fl.per.head[2,1]    -1.422    6.297
       beta.poly.fl.per.head[2,2]    -8.606   -0.253*
            beta.poly.infest[1,1]    -3.786    6.193
            beta.poly.infest[1,2]    -1.545    3.969
            beta.poly.infest[2,1]    -8.913   -0.489*
            beta.poly.infest[2,2]    -2.644    3.917
              beta.poly.long[1,1]    -4.736    5.734
              beta.poly.long[1,2]    -1.569    2.342
              beta.poly.long[2,1]    -5.183    3.742
              beta.poly.long[2,2]    -4.500    0.057
               beta.poly.map[1,1]    -5.348    3.297
               beta.poly.map[1,2]    -3.134    2.234
               beta.poly.map[2,1]    -2.461    2.674
               beta.poly.map[2,2]     0.109    6.153*
         beta.poly.seed.mass[1,1]    -0.814   10.565
         beta.poly.seed.mass[1,2]    -0.774    5.209
         beta.poly.seed.mass[2,1]    -4.930    5.729
         beta.poly.seed.mass[2,2]     1.168   11.545*
           beta.seed.mass.elev[1]    -0.699    0.617
           beta.seed.mass.elev[2]    -0.612   -0.093*
           beta.seed.mass.long[1]    -0.543    0.618
           beta.seed.mass.long[2]    -0.520   -0.121*
            beta.seed.mass.map[1]    -0.493    0.332
            beta.seed.mass.map[2]    -0.188    0.448
                         deviance    44.932   98.251*
         eps.fecundity.species[1]    -1.595   -0.679*
         eps.fecundity.species[2]    -2.720   -0.275*
         eps.fecundity.species[3]    -2.106   -0.137*
         eps.fecundity.species[4]     0.634    1.113*
       eps.fl.per.head.species[1]    -1.437   -0.410*
       eps.fl.per.head.species[2]    -0.635    2.034
       eps.fl.per.head.species[3]     0.149    2.353*
       eps.fl.per.head.species[4]    -0.421    0.105
            eps.infest.species[1]    -5.006    1.795
            eps.infest.species[2]    -3.922    1.591
            eps.infest.species[3]    -4.246    3.001
            eps.infest.species[4]    -0.392    1.117
         eps.seed.mass.species[1]    -1.240   -0.302*
         eps.seed.mass.species[2]    -1.822    0.678
         eps.seed.mass.species[3]    -2.265   -0.253*
         eps.seed.mass.species[4]     0.374    0.864*
                    tau.fecundity     0.000    5.556*
                  tau.fl.per.head     0.000    5.728*
                    tau.seed.mass     0.000    5.645*
90% HPD intervals
                      Coefficient        lo       hi
---------------------------------   -------  -------
                       Sigma[1,1]     0.128    0.394*
                       Sigma[1,2]    -0.038    0.201
                       Sigma[1,3]    -0.143    0.072
                       Sigma[2,1]    -0.038    0.201
                       Sigma[2,2]     0.161    0.504*
                       Sigma[2,3]    -0.242    0.006
                       Sigma[3,1]    -0.143    0.072
                       Sigma[3,2]    -0.242    0.006
                       Sigma[3,3]     0.143    0.426*
                  alpha.pink.0[1]    -5.638    2.613
                  alpha.pink.0[2]    -5.200    2.868
                  alpha.pink.0[3]    -0.676    7.265
                  alpha.pink.0[4]    -0.100    8.462
                  alpha.pink.elev    -5.892   -0.601*
             alpha.pink.fecundity    -1.607    3.483
           alpha.pink.fl.per.head    -1.736    3.565
                alpha.pink.infest    -4.585    0.312
                  alpha.pink.long    -5.718   -0.833*
                   alpha.pink.map    -2.660    1.790
             alpha.pink.seed.mass    -2.457    3.863
                  alpha.poly.0[1]    -4.785    2.848
                  alpha.poly.0[2]    -3.981    3.517
                  alpha.poly.elev    -3.695    1.960
             alpha.poly.fecundity    -2.837    2.998
           alpha.poly.fl.per.head    -2.245    3.639
                alpha.poly.infest    -3.291    2.504
                  alpha.poly.long    -3.171    2.448
                   alpha.poly.map    -2.349    3.057
             alpha.poly.seed.mass    -0.602    6.241
           beta.fecundity.elev[1]    -0.461    0.814
           beta.fecundity.elev[2]     0.055    0.557*
           beta.fecundity.long[1]    -0.875    0.266
           beta.fecundity.long[2]    -0.384   -0.002*
            beta.fecundity.map[1]    -0.337    0.455
            beta.fecundity.map[2]     0.202    0.818*
         beta.fl.per.head.elev[1]    -0.438    0.989
         beta.fl.per.head.elev[2]     0.003    0.565*
         beta.fl.per.head.long[1]    -0.787    0.468
         beta.fl.per.head.long[2]    -0.045    0.387
          beta.fl.per.head.map[1]    -0.479    0.406
          beta.fl.per.head.map[2]    -0.094    0.601
              beta.infest.elev[1]    -0.398    1.814
              beta.infest.elev[2]    -0.603    0.209
         beta.infest.fecundity[1]    -3.547    0.290
         beta.infest.fecundity[2]    -0.890    0.386
       beta.infest.fl.per.head[1]    -3.132    1.169
       beta.infest.fl.per.head[2]    -0.051    1.138
              beta.infest.long[1]    -1.925    0.215
              beta.infest.long[2]    -0.413    0.283
               beta.infest.map[1]    -0.159    1.049
               beta.infest.map[2]    -0.697    0.350
         beta.infest.seed.mass[1]    -1.468    4.394
         beta.infest.seed.mass[2]    -0.169    1.061
                 beta.pink.0[1,1]    -8.594    3.649
                 beta.pink.0[1,2]    -8.473    4.237
                 beta.pink.0[1,3]    -8.772    4.187
                 beta.pink.0[1,4]    -5.112    4.383
                 beta.pink.0[2,1]    -7.803    3.633
                 beta.pink.0[2,2]    -7.160    4.693
                 beta.pink.0[2,3]    -7.100    5.446
                 beta.pink.0[2,4]    -6.495    3.412
                 beta.pink.0[3,1]    -0.334   11.447
                 beta.pink.0[3,2]    -2.059   10.472
                 beta.pink.0[3,3]    -4.559    7.866
                 beta.pink.0[3,4]     0.759    9.521*
                 beta.pink.0[4,1]    -1.093   11.639
                 beta.pink.0[4,2]    -1.943   11.220
                 beta.pink.0[4,3]    -1.140   11.754
                 beta.pink.0[4,4]     1.700   11.905*
              beta.pink.elev[1,1]    -8.531    1.919
              beta.pink.elev[1,2]    -5.115    2.734
              beta.pink.elev[2,1]    -9.874   -1.124*
              beta.pink.elev[2,2]    -9.562   -1.316*
              beta.pink.elev[3,1]    -9.337    0.815
              beta.pink.elev[3,2]    -9.605   -2.104*
              beta.pink.elev[4,1]    -7.096    3.443
              beta.pink.elev[4,2]    -6.200    2.796
         beta.pink.fecundity[1,1]    -1.608    8.595
         beta.pink.fecundity[1,2]    -3.826    3.048
         beta.pink.fecundity[2,1]    -1.817    7.041
         beta.pink.fecundity[2,2]    -3.166    4.774
         beta.pink.fecundity[3,1]    -4.447    5.089
         beta.pink.fecundity[3,2]    -3.155    3.775
         beta.pink.fecundity[4,1]    -6.204    4.233
         beta.pink.fecundity[4,2]    -1.570    7.681
       beta.pink.fl.per.head[1,1]    -4.888    4.626
       beta.pink.fl.per.head[1,2]     1.777    9.596*
       beta.pink.fl.per.head[2,1]    -2.944    4.836
       beta.pink.fl.per.head[2,2]    -5.225    4.048
       beta.pink.fl.per.head[3,1]    -6.876    1.318
       beta.pink.fl.per.head[3,2]    -2.787    6.904
       beta.pink.fl.per.head[4,1]    -3.135    6.709
       beta.pink.fl.per.head[4,2]    -4.987    5.702
            beta.pink.infest[1,1]    -4.861    4.420
            beta.pink.infest[1,2]    -3.842    2.617
            beta.pink.infest[2,1]    -9.096   -1.300*
            beta.pink.infest[2,2]    -7.097    1.940
            beta.pink.infest[3,1]    -5.172    3.066
            beta.pink.infest[3,2]    -8.323   -0.927*
            beta.pink.infest[4,1]    -8.414    1.710
            beta.pink.infest[4,2]    -7.060    1.945
              beta.pink.long[1,1]    -7.100    3.562
              beta.pink.long[1,2]    -7.645    0.058
              beta.pink.long[2,1]    -9.331    0.261
              beta.pink.long[2,2]   -10.465   -2.424*
              beta.pink.long[3,1]    -9.080    0.019
              beta.pink.long[3,2]    -4.064    2.146
              beta.pink.long[4,1]    -8.471    2.142
              beta.pink.long[4,2]    -7.789   -1.042*
               beta.pink.map[1,1]    -6.048    2.894
               beta.pink.map[1,2]    -4.450    2.031
               beta.pink.map[2,1]    -3.143    2.360
               beta.pink.map[2,2]    -2.957    5.241
               beta.pink.map[3,1]    -2.364    3.964
               beta.pink.map[3,2]    -5.824    0.748
               beta.pink.map[4,1]    -4.352    4.619
               beta.pink.map[4,2]    -5.473    3.916
         beta.pink.seed.mass[1,1]    -2.514    8.635
         beta.pink.seed.mass[1,2]    -4.149    4.020
         beta.pink.seed.mass[2,1]    -5.125    5.593
         beta.pink.seed.mass[2,2]    -2.045    7.682
         beta.pink.seed.mass[3,1]    -4.571    6.112
         beta.pink.seed.mass[3,2]    -4.681    5.610
         beta.pink.seed.mass[4,1]    -6.766    4.498
         beta.pink.seed.mass[4,2]    -5.258    6.070
                 beta.poly.0[1,1]    -7.722    4.362
                 beta.poly.0[1,2]    -8.044    4.481
                 beta.poly.0[1,3]    -8.015    4.521
                 beta.poly.0[1,4]    -3.198    3.562
                 beta.poly.0[2,1]    -6.982    4.072
                 beta.poly.0[2,2]    -7.100    4.229
                 beta.poly.0[2,3]    -4.564    7.568
                 beta.poly.0[2,4]    -3.549    3.392
              beta.poly.elev[1,1]    -6.189    4.194
              beta.poly.elev[1,2]    -3.167    1.900
              beta.poly.elev[2,1]    -6.907    0.945
              beta.poly.elev[2,2]    -1.706    3.141
         beta.poly.fecundity[1,1]    -2.832    7.298
         beta.poly.fecundity[1,2]    -5.115    1.293
         beta.poly.fecundity[2,1]    -4.275    4.536
         beta.poly.fecundity[2,2]    -2.738    2.577
       beta.poly.fl.per.head[1,1]    -5.025    4.738
       beta.poly.fl.per.head[1,2]     1.770    8.025*
       beta.poly.fl.per.head[2,1]    -1.489    6.221
       beta.poly.fl.per.head[2,2]    -8.468   -0.135*
            beta.poly.infest[1,1]    -3.966    5.967
            beta.poly.infest[1,2]    -1.661    3.826
            beta.poly.infest[2,1]    -8.831   -0.443*
            beta.poly.infest[2,2]    -2.859    3.694
