Full model...
   DIC: 293.735
    pD: 70.171

                Dbar	Dhat	pD	DIC	
fecundity	33.816	22.760	11.055	44.871	
fl.per.head	42.707	31.878	10.829	53.536	
infest	        57.983	43.160	14.822	72.805	
pink	        22.935	10.255	12.680	35.614	
poly	        31.711	21.967	9.744	41.456	
seed.mass	34.413	23.373	11.040	45.453	
total	        223.564	153.394	70.171	293.735	


Full model results...Inference for Bugs model at "analysis-alt.txt", fit using WinBUGS,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                              mean     sd    2.5%     25%     50%     75%   97.5%  Rhat n.eff
beta.pink.fecundity[1,1]     2.906  3.371  -3.594   0.594   2.874   5.164   9.576 1.001 19000
beta.pink.fecundity[1,2]     1.089  3.227  -5.199  -1.069   1.083   3.249   7.407 1.001 25000
beta.pink.fecundity[2,1]     1.575  3.150  -4.599  -0.553   1.557   3.677   7.796 1.001 25000
beta.pink.fecundity[2,2]     1.308  3.395  -5.344  -0.970   1.304   3.596   7.942 1.001 25000
beta.pink.fecundity[3,1]    -1.085  3.293  -7.597  -3.285  -1.089   1.144   5.384 1.001  7900
beta.pink.fecundity[3,2]    -0.148  3.267  -6.520  -2.339  -0.163   2.042   6.338 1.001 25000
beta.pink.fecundity[4,1]    -0.841  3.422  -7.573  -3.147  -0.844   1.489   5.877 1.001 23000
beta.pink.fecundity[4,2]     2.810  3.440  -3.964   0.501   2.838   5.121   9.466 1.001 24000
beta.pink.fl.per.head[1,1]  -1.487  3.216  -7.816  -3.635  -1.482   0.678   4.811 1.001 16000
beta.pink.fl.per.head[1,2]  -0.588  3.580  -7.668  -2.993  -0.556   1.821   6.388 1.001 25000
beta.pink.fl.per.head[2,1]   0.266  2.896  -5.608  -1.616   0.313   2.197   5.856 1.002  1900
beta.pink.fl.per.head[2,2]  -1.467  3.665  -8.665  -3.936  -1.482   1.013   5.702 1.001  9000
beta.pink.fl.per.head[3,1]  -3.660  2.945  -9.469  -5.601  -3.650  -1.711   2.117 1.001  5200
beta.pink.fl.per.head[3,2]  -1.073  3.579  -8.131  -3.487  -1.022   1.351   5.833 1.001 15000
beta.pink.fl.per.head[4,1]   0.236  3.199  -6.167  -1.885   0.281   2.368   6.513 1.001  9000
beta.pink.fl.per.head[4,2]  -0.994  3.663  -8.249  -3.466  -0.988   1.447   6.194 1.001  9800
beta.pink.seed.mass[1,1]     2.784  3.642  -4.367   0.353   2.796   5.193  10.000 1.001 13000
beta.pink.seed.mass[1,2]     0.215  3.469  -6.615  -2.153   0.241   2.550   6.990 1.001 13000
beta.pink.seed.mass[2,1]     1.301  3.511  -5.578  -1.061   1.283   3.630   8.227 1.002  3900
beta.pink.seed.mass[2,2]     2.528  3.609  -4.553   0.126   2.529   4.945   9.626 1.001 17000
